 Average                 ," NO_
AJMER "," NO2_
AJMER "," NOX_
AJMER "," NH3_
AJMER "," SO2_
AJMER "," CO_
AJMER "," O3_
AJMER "," PM10_
AJMER "," PM2.5_
AJMER "," BENZ_
AJMER "," TOLUENE_
AJMER "," ETHYBEZ_
AJMER ", MP_XYLENE_AJMER ,"OXYLENE_
AJMER "," TEMP_
AJMER "," RH_
AJMER "," WS_
AJMER "," WD_
AJMER "," BP_
AJMER "," SR_
AJMER "," RG_
AJMER "
                  , ug/m3 , ug/m3 , ug/m3 , ug/m3 , ug/m3 , mg/m3 , ug/m3 , ug/m3 , ug/m3 , ug/m3 , ug/m3 , ug/m3 , ug/m3 , ug/m3 , degreC , % , m/s , degre----- , mmHg , W/m2 , m m 
43726.041666666664,6.95,22.4,16.989999999999998,21.67,4.1500000000000004,2.92,7.73,154.69999999999999,64.66,0,0,0,0,0,32.340000000000003,59.68,0.63,260.12,0.25,722.8,16.91
43726.083333333336,10.92,25.27,21.7,21.64,5.96,1.54,7.87,132.9,,0,0,0,0,0,32.25,59.53,0.68,297.7,0.3,723,16.100000000000001
43726.125,11.67,27.64,23.54,21.48,7.1,1.67,7.37,88.3,600.22,0,0,0,0,0,32.11,59.31,0.8,307.76,0.3,723.1,16.190000000000001
43726.166666666664,12.7,26.9,23.98,21.15,11.69,0.25,10.46,83.4,326.17,0,0,0,0,0,31.94,58.74,0.79,303.27,0.28999999999999998,723.2,15.68
43726.208333333336,10.35,24.03,20.6,21.58,9.8800000000000008,0.96,7.59,99.8,189.79,0,0,0,0,0,31.43,60.13,0.7,299.63,0.28999999999999998,722.8,15.83
43726.25,12.37,26.49,23.5,21.01,1.52,3.57,4.66,102.2,121.4,0,0.14000000000000001,0,0,0,31.1,61.07,0.57999999999999996,284.25,0.28000000000000003,722.4,15.84
43726.291666666664,9.01,22.97,18.98,22.17,3.33,3.27,4.7,107.6,87.2,0,0,0,0,0,30.9,61.66,0.69,296.86,0.28999999999999998,721.7,24.66
43726.333333333336,10.17,22.85,19.84,21.93,7.43,2.63,12.73,121.9,70.099999999999994,0,0,0,0,0,31.41,61.52,0.85,329.06,0.31,721.4,84.4
43726.375,11.37,25.97,22.8,22.07,10.050000000000001,1.07,53.43,138.4,61.55,0,0,0,0,0,32.17,60.53,1.3,13.01,0.38,721.7,273.11
43726.416666666664,16.059999999999999,41.23,39.82,32.46,8.56,0.84,47.24,129.30000000000001,57.28,0,0,0,0,0,33.159999999999997,58.52,0.91,2.66,0.26,722.2,469.98
43726.458333333336,6.96,33.53,28.3,34.03,4.2300000000000004,,54.11,,55.46,0,0.28000000000000003,0,0,0,34.340000000000003,55.77,0.68,342.72,0.23,723,614.75
43726.5,9.36,36.85,32.08,34.049999999999997,,,47.68,0,0.45,0,0.32,0,0,0,35.590000000000003,52.77,0.36,331.92,0.23,724.1,710.93
43726.541666666664,,,,,,,53.04,25.1,113.95,0,0,0,0,0,36.69,49.09,0.54,7.75,0.28999999999999998,725.3,706.29
43726.583333333336,,,,,3.43,0.67,62.98,97.5,66.09,0,0,0,0,0,37.64,46.09,0.67,353.23,0.4,725.8,721.26
43726.625,,,,,4.47,0.25,59.31,118.8,39.67,0,0,0,0,0,38.39,44.69,0.14000000000000001,355.8,0.4,726.4,611
43726.666666666664,,,,,5.55,1.46,64.28,139.80000000000001,28.6,0,0,0,0,0,38.74,42.66,0.41,333.17,0.39,726.5,515.66999999999996
